Name,Position,Device,GUID,Parent GUID,MD5 Digest,Path Name,Kind,MIME Type,Date,Cellebrite deleted_state,Cellebrite id,Cellebrite Folder,Cellebrite type,Cellebrite Type,Cellebrite VideoCall,Cellebrite Title,Cellebrite LastVisited,Cellebrite Url,Cellebrite VisitCount,Contact Full Name,Contact Mobile Phone,MaximumLatitude,MinimumLatitude,MaximumLongitude,MinimumLongitude,Latitude,Longitude,iOS Message Remote Participants,iOS SMS Read,iOS First Message,iOS Last Message,Application Created,File Created,Communication Date,Cellebrite MetaData Modify time,Cellebrite MetaData DateTime,Cellebrite StartDate,Exif Date Time

2012-10-22 16:45:22 UTC: 4436946702 -> [],0-0-0-0,BlackBerry Torch,ae970435-e5f9-491f-b654-68c62b2925be,f4653e0e-021f-4e4d-bcfd-5399580065c9,19601869a917af7ad524f64d92f295cc,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Monday, October 22, 2012 at 12:45:22 PM Eastern Daylight Time",Intact,acea534c-8410-4bd9-af63-1ae1c586c811,,Call,Missed,False,,,,,,,,,,,,,,,,,,,"Monday, October 22, 2012 at 12:45:22 PM Eastern Daylight Time",,,,
2012-10-19 17:17:29 UTC: [4436946702] -> 14437140166,0-0-0-1,BlackBerry Torch,eca6d2af-ab34-4179-91e8-055c1bcf9ed2,f4653e0e-021f-4e4d-bcfd-5399580065c9,594a8e8a08b3b275f9fd38f05bc79d83,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Friday, October 19, 2012 at 1:17:29 PM Eastern Daylight Time",Intact,b0c763f8-dc0e-4d6f-88ce-d3f79a239711,,Call,Incoming,False,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:17:29 PM Eastern Daylight Time",,,,
2012-10-19 17:21:28 UTC: [4437140168] -> 14437140166,0-0-0-2,BlackBerry Torch,218a617e-90b8-43b3-961e-490c5f686228,f4653e0e-021f-4e4d-bcfd-5399580065c9,fee76e79d812b9767e2c95fb1128f9ef,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Friday, October 19, 2012 at 1:21:28 PM Eastern Daylight Time",Intact,54d9b0ac-10d2-4d19-ad09-e01476cbd031,,Call,Incoming,False,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:21:28 PM Eastern Daylight Time",,,,
2011-11-09 21:40:05 UTC: 14437140166 -> [2407516785],0-0-0-3,BlackBerry Torch,080ac897-a891-4f14-aaab-bfd3ca28bdfa,f4653e0e-021f-4e4d-bcfd-5399580065c9,9513fa48dc17a07991e9eeced1826aec,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Wednesday, November 9, 2011 at 4:40:05 PM Eastern Standard Time",Intact,41338f75-2ff1-405d-898f-a8a581d73f04,,Call,Outgoing,False,,,,,,,,,,,,,,,,,,,"Wednesday, November 9, 2011 at 4:40:05 PM Eastern Standard Time",,,,
2011-10-18 19:09:43 UTC: 9786862255 -> [],0-0-0-4,BlackBerry Torch,ad79355d-8424-4044-9df6-fcf7727ffa19,f4653e0e-021f-4e4d-bcfd-5399580065c9,36b30818f4716499a3c94215814df78a,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Tuesday, October 18, 2011 at 3:09:43 PM Eastern Daylight Time",Intact,ab465c55-c864-4c06-9ea9-1644c08087e1,,Call,Missed,False,,,,,,,,,,,,,,,,,,,"Tuesday, October 18, 2011 at 3:09:43 PM Eastern Daylight Time",,,,
2011-10-18 17:27:53 UTC: 14437140166 -> [+1 410-242-3101],0-0-0-5,BlackBerry Torch,a8d1b4e4-40df-4ebb-ade4-75ec4d84cdc6,f4653e0e-021f-4e4d-bcfd-5399580065c9,d85cc4c8afef3c515b04c4e4a7e99ab6,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Tuesday, October 18, 2011 at 1:27:53 PM Eastern Daylight Time",Intact,3d2b37be-742e-48c7-b7d7-ee5bab6f460b,,Call,Outgoing,False,,,,,,,,,,,,,,,,,,,"Tuesday, October 18, 2011 at 1:27:53 PM Eastern Daylight Time",,,,
2011-08-24 19:00:04 UTC: 14437140166 -> [4106944327],0-0-0-6,BlackBerry Torch,9fbbd6fd-b3ac-4e40-82d2-2f0bf5c46773,f4653e0e-021f-4e4d-bcfd-5399580065c9,d3f2e1af1a03c84aa2a386f03c92e69a,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Wednesday, August 24, 2011 at 3:00:04 PM Eastern Daylight Time",Intact,4e87f962-9f43-45d5-8c3d-adff2ca407a8,,Call,Outgoing,False,,,,,,,,,,,,,,,,,,,"Wednesday, August 24, 2011 at 3:00:04 PM Eastern Daylight Time",,,,
2011-08-24 18:58:30 UTC: 14437140166 -> [4432544722],0-0-0-7,BlackBerry Torch,4fb3c845-0992-4229-9e61-19b8237a9034,f4653e0e-021f-4e4d-bcfd-5399580065c9,c70e594e0a38f03922726423bf7cf3c3,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Wednesday, August 24, 2011 at 2:58:30 PM Eastern Daylight Time",Intact,22ba0146-aa35-4bfa-95bd-ed09338140d0,,Call,Outgoing,False,,,,,,,,,,,,,,,,,,,"Wednesday, August 24, 2011 at 2:58:30 PM Eastern Daylight Time",,,,
2011-08-24 18:56:29 UTC: 14437140166 -> [4106944325],0-0-0-8,BlackBerry Torch,ed42abfc-e6a9-441c-ac3f-9cc9a381ef92,f4653e0e-021f-4e4d-bcfd-5399580065c9,cf686a53d075e426cc02e0f0eef549f4,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Call,Other Document,application/x-call-record,"Wednesday, August 24, 2011 at 2:56:29 PM Eastern Daylight Time",Intact,7d46e128-fded-4390-9f31-171fccf353df,,Call,Outgoing,False,,,,,,,,,,,,,,,,,,,"Wednesday, August 24, 2011 at 2:56:29 PM Eastern Daylight Time",,,,
